,cond_color,probvar,cost,choseH,subject,mn_ss
594,same,low,high,1,180,1.0
595,same,low,high,1,181,3.33333333333
596,same,low,high,1,191,2.8
597,same,low,high,1,192,4.33333333333
598,same,low,high,1,194,24.0
599,same,low,high,1,198,1.33333333333
600,same,low,high,1,202,7.6
601,same,low,high,1,203,2.75
602,same,low,high,1,205,3.2
603,same,low,high,1,208,3.6
604,same,low,high,1,209,2.0
605,same,low,high,1,211,2.66666666667
606,same,low,high,1,214,2.0
607,same,low,high,1,217,1.5
608,same,low,high,1,218,2.83333333333
609,same,low,low,0,96,3.0
610,same,low,low,0,97,1.0
611,same,low,low,0,102,1.0
612,same,low,low,0,106,2.0
613,same,low,low,0,113,1.8
614,same,low,low,0,116,10.0
615,same,low,low,0,123,1.5
616,same,low,low,0,140,5.25
617,same,low,low,0,153,2.0
618,same,low,low,0,163,11.0
619,same,low,low,0,166,20.0
620,same,low,low,0,175,22.0
621,same,low,low,0,176,2.0
622,same,low,low,0,180,1.0
623,same,low,low,0,192,8.0
624,same,low,low,0,202,16.0
625,same,low,low,0,205,6.5
626,same,low,low,0,214,1.0
627,same,low,low,1,92,9.33333333333
628,same,low,low,1,93,6.83333333333
629,same,low,low,1,96,1.8
630,same,low,low,1,97,1.0
631,same,low,low,1,100,5.83333333333
632,same,low,low,1,102,2.4
633,same,low,low,1,104,10.0
634,same,low,low,1,106,5.0
635,same,low,low,1,107,6.66666666667
636,same,low,low,1,110,8.0
637,same,low,low,1,112,5.83333333333
638,same,low,low,1,113,1.0
639,same,low,low,1,116,8.8
640,same,low,low,1,119,2.33333333333
641,same,low,low,1,121,9.33333333333
642,same,low,low,1,123,1.0
643,same,low,low,1,127,7.33333333333
644,same,low,low,1,130,11.3333333333
645,same,low,low,1,136,28.5
646,same,low,low,1,137,4.5
647,same,low,low,1,140,1.0
648,same,low,low,1,141,15.0
649,same,low,low,1,144,6.83333333333
650,same,low,low,1,145,14.1666666667
651,same,low,low,1,148,13.6666666667
652,same,low,low,1,149,3.66666666667
653,same,low,low,1,151,10.8333333333
654,same,low,low,1,153,6.4
655,same,low,low,1,159,17.6666666667
656,same,low,low,1,163,2.0
657,same,low,low,1,166,16.2
658,same,low,low,1,170,7.5
659,same,low,low,1,175,14.2
660,same,low,low,1,176,2.6
661,same,low,low,1,179,6.0
662,same,low,low,1,180,1.0
663,same,low,low,1,181,11.1666666667
664,same,low,low,1,191,10.0
665,same,low,low,1,192,7.33333333333
666,same,low,low,1,194,19.8333333333
667,same,low,low,1,198,9.33333333333
668,same,low,low,1,202,11.2
669,same,low,low,1,203,4.66666666667
670,same,low,low,1,205,6.25
671,same,low,low,1,208,8.66666666667
672,same,low,low,1,209,14.1666666667
673,same,low,low,1,211,24.6666666667
674,same,low,low,1,214,7.2
675,same,low,low,1,217,10.8333333333
676,same,low,low,1,218,2.33333333333
